SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 13-Apr-2020, 26.60, 26.50, 28.00, 25.00, 26.15, 26.20, 26.23, 40392, 10.60, 561, 29581, 77.27
21STCENMGM, EQ, 13-Apr-2020, 10.50, 10.50, 10.50, 10.50, 10.50, 10.50, 10.50, 112, 0.01, 4, 112, 100.00
3IINFOTECH, EQ, 13-Apr-2020, 1.25, 1.30, 1.30, 1.20, 1.25, 1.25, 1.26, 3656565, 46.15, 1911, 1545630, 58.91
3MINDIA, EQ, 13-Apr-2020, 18941.85, 19640.00, 19700.00, 18650.40, 18750.00, 18766.75, 19070.39, 8169, 1557.86, 3074, 5191, 68.37
3PLAND, EQ, 13-Apr-2020, 4.20, 4.20, 4.20, 4.20, 4.20, 4.20, 4.20, 270, 0.01, 4, 270, 100.00
5PAISA, EQ, 13-Apr-2020, 140.05, 145.00, 163.00, 140.60, 160.00, 162.05, 154.04, 36624, 56.42, 954, 26267, 78.18
63MOONS, EQ, 13-Apr-2020, 59.05, 62.00, 62.00, 57.50, 61.00, 61.15, 60.45, 93464, 56.50, 1944, 52342, 61.34
727GS2026, GS, 13-Apr-2020, 91.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 50, 0.05, 1, 50, 100.00
772GS2049, GS, 13-Apr-2020, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 1000, 1.10, 1, 1000, 100.00
A2ZINFRA, EQ, 13-Apr-2020, 3.60, 3.65, 4.30, 3.50, 4.30, 4.25, 3.98, 889016, 35.34, 1194, 420893, 56.89
AAKASH, SM, 13-Apr-2020, 28.50, 27.10, 27.10, 27.10, 27.10, 27.10, 27.10, 3000, 0.81, 1, 3000, 100.00
AARTIDRUGS, EQ, 13-Apr-2020, 644.95, 645.00, 690.00, 625.00, 678.00, 681.10, 669.60, 68269, 457.13, 3829, 21490, 47.49
AARTIIND, EQ, 13-Apr-2020, 911.30, 915.00, 974.65, 895.00, 899.90, 900.05, 929.59, 442244, 4111.06, 35606, 197052, 48.37
AARVEEDEN, EQ, 13-Apr-2020, 9.45, 9.50, 10.90, 8.25, 9.40, 9.10, 9.16, 15802, 1.45, 358, 6072, 49.57
AAVAS, EQ, 13-Apr-2020, 1191.95, 1243.00, 1243.00, 1155.00, 1190.00, 1172.35, 1199.51, 22110, 265.21, 3020, 11990, 63.01
ABAN, EQ, 13-Apr-2020, 17.80, 19.55, 19.55, 19.05, 19.55, 19.55, 19.47, 84866, 16.52, 798, 71445, 85.89
ABB, EQ, 13-Apr-2020, 926.85, 930.00, 934.00, 897.50, 908.95, 907.20, 914.02, 63007, 575.90, 3007, 38632, 75.78
ABBOTINDIA, EQ, 13-Apr-2020, 17884.60, 18240.00, 18400.00, 16800.00, 17190.00, 17232.30, 17268.99, 35123, 6065.39, 11680, 13155, 41.02
ABCAPITAL, EQ, 13-Apr-2020, 48.00, 48.00, 48.25, 44.40, 46.40, 46.25, 46.10, 1271928, 586.42, 8612, 460510, 40.79
ABFRL, EQ, 13-Apr-2020, 149.20, 152.00, 154.95, 143.70, 144.70, 145.55, 148.81, 638881, 950.74, 12726, 265227, 46.60
ABSLFTSGRN, MF, 13-Apr-2020, 10.30, 10.50, 10.52, 10.50, 10.52, 10.52, 10.52, 4000, 0.42, 3, 1000, 100.00
ABSLNN50ET, EQ, 13-Apr-2020, 235.00, 228.00, 232.90, 205.43, 226.86, 207.19, 209.79, 2729, 5.73, 49, 2626, 100.00
ACC, EQ, 13-Apr-2020, 999.50, 1015.00, 1122.10, 1001.45, 1064.85, 1067.25, 1061.99, 3572087, 37935.07, 112238, 562909, 16.54
ACCELYA, EQ, 13-Apr-2020, 895.20, 889.20, 935.50, 882.05, 907.05, 913.80, 903.51, 39677, 358.49, 3278, 15070, 50.78
ACCURACY, SM, 13-Apr-2020, 14.10, 13.45, 14.30, 13.40, 14.30, 13.85, 13.44, 57600, 7.74, 11, 49600, 91.18
ACE, EQ, 13-Apr-2020, 36.05, 37.35, 37.45, 34.50, 36.50, 36.35, 36.07, 219018, 79.01, 2097, 98344, 50.98
ADANIENT, EQ, 13-Apr-2020, 142.45, 142.00, 149.00, 136.55, 149.00, 146.00, 142.33, 2204560, 3137.76, 16097, 245556, 20.62
ADANIGAS, EQ, 13-Apr-2020, 92.70, 93.50, 93.90, 90.40, 92.50, 93.00, 92.25, 1259160, 1161.53, 9544, 367454, 39.56
ADANIGREEN, EQ, 13-Apr-2020, 174.75, 180.00, 183.45, 167.05, 183.30, 183.35, 178.74, 769348, 1375.11, 9174, 325187, 47.66
ADANIPORTS, EQ, 13-Apr-2020, 251.90, 252.00, 265.50, 247.50, 263.00, 262.85, 253.66, 6979354, 17703.69, 37483, 2171501, 38.23
ADANIPOWER, EQ, 13-Apr-2020, 30.40, 30.60, 31.30, 28.85, 29.80, 29.65, 29.60, 9137324, 2704.58, 19890, 2408630, 32.32
ADANITRANS, EQ, 13-Apr-2020, 197.45, 200.00, 206.00, 195.00, 202.50, 203.55, 202.02, 174199, 351.92, 2524, 84116, 73.59
ADFFOODS, EQ, 13-Apr-2020, 194.25, 194.25, 203.95, 185.80, 202.90, 202.40, 198.02, 31679, 62.73, 527, 21340, 71.34
