SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AUTOAXLES, EQ, 28-Sep-2020, 734.45, 749.80, 749.80, 706.55, 720.00, 724.65, 736.63, 43933, 323.62, 3749, 8955, 20.38
AUTOIND, EQ, 28-Sep-2020, 28.10, 29.50, 29.50, 28.30, 29.50, 29.50, 29.50, 6137, 1.81, 60, 6137, 100.00
AUTOLITIND, EQ, 28-Sep-2020, 19.15, 18.70, 20.10, 18.70, 19.35, 19.35, 19.38, 9046, 1.75, 90, 4827, 53.36
AVADHSUGAR, EQ, 28-Sep-2020, 179.70, 180.65, 183.50, 178.00, 180.00, 180.50, 181.71, 49864, 90.61, 831, 30228, 60.62
AVANTIFEED, EQ, 28-Sep-2020, 493.40, 496.50, 511.15, 496.50, 505.40, 504.75, 505.06, 224622, 1134.48, 6833, 66561, 29.63
AVG, SM, 28-Sep-2020, 55.65, 58.40, 58.40, 58.40, 58.40, 58.40, 58.40, 1200, 0.70, 1, 1200, 100.00
AVROIND, SM, 28-Sep-2020, 48.00, 47.00, 47.00, 47.00, 47.00, 47.00, 47.00, 2000, 0.94, 1, 2000, 100.00
AVTNPL, EQ, 28-Sep-2020, 45.80, 46.10, 46.75, 44.85, 45.00, 45.15, 45.60, 117493, 53.57, 916, 71040, 60.46
AXISBANK, EQ, 28-Sep-2020, 415.05, 420.00, 440.60, 418.05, 438.05, 439.25, 431.97, 19389041, 83754.37, 182384, 4330611, 22.34
AXISCADES, EQ, 28-Sep-2020, 51.25, 51.25, 53.75, 51.25, 52.00, 52.10, 52.38, 43466, 22.77, 543, 26111, 60.07
AXISGOLD, EQ, 28-Sep-2020, 43.55, 43.55, 43.95, 43.20, 43.25, 43.25, 43.28, 105847, 45.81, 684, 91217, 86.18
AXISNIFTY, EQ, 28-Sep-2020, 114.43, 124.80, 124.80, 115.00, 116.16, 116.17, 115.92, 3948, 4.58, 70, 3526, 89.31
AYMSYNTEX, EQ, 28-Sep-2020, 24.70, 25.70, 26.80, 24.35, 24.55, 25.00, 25.03, 6676, 1.67, 84, 4023, 60.26
BAFNAPH, EQ, 28-Sep-2020, 36.15, 37.95, 37.95, 37.95, 37.95, 37.95, 37.95, 4430, 1.68, 10, 4430, 100.00
BAGFILMS, EQ, 28-Sep-2020, 2.65, 2.65, 2.65, 2.55, 2.60, 2.55, 2.59, 73292, 1.90, 54, 47848, 65.28
BAJAJ-AUTO, EQ, 28-Sep-2020, 2957.40, 2976.90, 3022.30, 2952.85, 2964.00, 2966.35, 2983.44, 902239, 26917.78, 36617, 370662, 41.08
BAJAJCON, EQ, 28-Sep-2020, 183.55, 185.85, 189.70, 182.15, 187.50, 187.00, 187.28, 720518, 1349.40, 11071, 217202, 30.15
BAJAJELEC, EQ, 28-Sep-2020, 492.85, 496.05, 500.00, 486.00, 487.55, 488.00, 493.33, 139702, 689.19, 5191, 34645, 24.80
BAJAJFINSV, EQ, 28-Sep-2020, 5803.30, 5861.65, 6040.00, 5820.00, 5991.30, 5985.95, 5967.61, 672201, 40114.31, 56567, 63755, 9.48
